Overview,Course Overview,`Slides <https://drive.google.com/file/d/0Bx_sUfI4VkKSaHlDWkZkeGh4LVE/view?usp=sharing>`_,
      ,Class Overview - Part 1,`Video <https://www.youtube.com/watch?v=Z2M5NsTsj2Y>`_,11:29
      ,Class Overview - Part 2,`Video <https://www.youtube.com/watch?v=5VXhF_Z7Vdk>`_,04:10
      ,Class Overview - Part 3,`Video <https://www.youtube.com/watch?v=DDXqLZcavas>`_,12:41
Web Page,Course Web Page, Videos_,
      ,Class Web Page - Part 1,`Video <https://www.youtube.com/watch?v=uE45GE1Ceok>`_,11:25
      ,Class Web Page - Part 2,`Video <https://www.youtube.com/watch?v=Tkhu96TreMk>`_,17:31
Techlist.1, TechList.1 Web Page, `Web Page <https://cloudmesh.github.io/classes/i524/technologies.html>`_, 
      , TechList.1 Homework, `Video <https://www.youtube.com/watch?v=roi7vezNmfo>`_, 40:08
Introduction ,Course Introduction,`Slides <https://drive.google.com/file/d/0Bx_sUfI4VkKSMHBUblVUMWg4Y00/view?usp=sharing>`_,
      ,Introduction,`Video <https://www.youtube.com/watch?v=VWK7QdThOPQ>`_,0:13:59
      ,Introduction - Real World Big Data,`Video <https://www.youtube.com/watch?v=hjrFaXMU1dg&list=PLLO4AVszo1SNIGlqjEBaQjLvc3lgpeI3M&index=2>`_,0:15:28
      ,Introduction - Basic Trends and Jobs,`Video <https://www.youtube.com/watch?v=u5Y0aKbzync&index=3&list=PLLO4AVszo1SNIGlqjEBaQjLvc3lgpeI3M>`_,0:10:57
Acess Patterns, Data Access Patterns and Introduction to using HPC-ABDS,`Slides <https://iu.box.com/s/o5rqlsop0jv98lqdon3h9qszk3soq31g>`_,
    , A. Introduction to HPC-ABDS Software and Access Patterns,`Video <https://www.youtube.com/watch?v=y2HzXjmRf4Y>`_ -  `Resource 1 <http://grids.ucs.indiana.edu/ptliupages/publications/HPC-ABDSDescribedv2.pdf>`_,0:27:45
    , B. Science Examples (Data Access Patterns),`Video <https://www.youtube.com/watch?v=hYJ4_1A4kEU>`_ -  `Resource 2 <http://hpc-abds.org/kaleidoscope/>`_,0:18:38
    , C. Remaining General Access Patterns,`Video <https://www.youtube.com/watch?v=hsEDKM7Zur4>`_,0:11:26
    , D. Summary of HPC-ABDS Layers 1 - 6,`Video <https://www.youtube.com/watch?v=zVPKiGV0fk0>`_,0:14:32
    , E. Summary of HPC-ABDS Layers 7 - 13,`Video <https://youtu.be/6Kj9E38lUzU>`_,0:30:52
    , F. Summary of HPC-ABDS Layers 14 - 17,`Video <https://www.youtube.com/watch?v=13EQZ-6z91k>`_,0:28:02
    , Final Part Summary of Stack,`Video <https://www.youtube.com/watch?v=0kj-NEl8VF4>`_,0:20:20
